district,district_rainfall,flood_severity,population_2011,predicted_ration_kits,risk_level,recommended_trucks,recommended_volunteers,recommended_storage_tons,forecast_5day_rainfall,forecast_rainfall_factor,forward_5day_ration_kits,forward_5day_risk,recommended_action
Nagaon,10.488,2.2989291456132293,2823768,8926.47,Severe,9.0,36.0,89.26,10.49,1.0349666666666666,9239,Severe,Immediate pre-positioning and multi-agency emergency coordination.
Dhubri,13.68,2.313820624712908,1949258,6189.105,High,7.0,25.0,61.89,13.680000000000001,1.0456,6471,High,"Mobilize transport, volunteers, and district-level relief teams."
Sonitpur,15.96,2.0744573954983925,1924110,5955.19,High,6.0,24.0,59.55,15.950000000000003,1.0531666666666666,6272,High,"Mobilize transport, volunteers, and district-level relief teams."
Barpeta,12.92,2.31027503445108,1693622,5371.875,High,6.0,22.0,53.72,12.93,1.0431,5603,High,"Mobilize transport, volunteers, and district-level relief teams."
Cachar,18.544,1.586512402388608,1736617,4495.715,Medium,5.0,18.0,44.96,18.549999999999997,1.0618333333333334,4774,Medium,Pre-position ration kits at block-level storage points.
Kamrup,10.488,1.7989291456132293,1517542,4220.01,Medium,5.0,17.0,42.2,10.49,1.0349666666666666,4368,Medium,Pre-position ration kits at block-level storage points.
Dibrugarh,17.024,1.829421221864952,1326335,3776.915,Medium,4.0,16.0,37.77,17.02,1.0567333333333333,3991,Medium,Pre-position ration kits at block-level storage points.
Lakhimpur,17.176,2.580130339917317,1042137,3692.065,Medium,4.0,15.0,36.92,17.17,1.0572333333333332,3903,Medium,Pre-position ration kits at block-level storage points.
Tinsukia,16.568,1.577293867707855,1327929,3477.825,Medium,4.0,14.0,34.78,16.56,1.0552,3670,Medium,Pre-position ration kits at block-level storage points.
Golaghat,13.68,2.063820624712908,1066888,3320.955,Medium,4.0,14.0,33.21,13.680000000000001,1.0456,3472,Medium,Pre-position ration kits at block-level storage points.
Goalpara,14.287999999999998,2.0666570969223703,1008183,3034.08,Medium,4.0,13.0,30.34,14.28,1.0476,3179,Medium,Pre-position ration kits at block-level storage points.
Marigaon,9.88,2.2960926734037668,957423,3060.085,Medium,4.0,13.0,30.6,9.879999999999999,1.0329333333333333,3161,Medium,Pre-position ration kits at block-level storage points.
Sivasagar,13.528,1.563111506660542,1151050,2965.09,Medium,3.0,12.0,29.65,13.54,1.0451333333333332,3099,Medium,Pre-position ration kits at block-level storage points.
Karimganj,21.28,1.3492765273311895,1228686,2811.78,Medium,3.0,12.0,28.12,21.28,1.0709333333333333,3011,Medium,Pre-position ration kits at block-level storage points.
Jorhat,12.312,1.5574385622416167,1092256,2826.885,Medium,3.0,12.0,28.27,12.32,1.0410666666666666,2943,Medium,Pre-position ration kits at block-level storage points.
Darrang,11.856,2.05531120808452,928500,2771.01,Medium,3.0,12.0,27.71,11.85,1.0395,2880,Medium,Pre-position ration kits at block-level storage points.
Dhemaji,18.544,2.586512402388608,686133,2518.995,Medium,3.0,11.0,25.19,18.549999999999997,1.0618333333333334,2675,Medium,Pre-position ration kits at block-level storage points.
Baksa,12.92,1.5602750344510794,950075,2459.995,Medium,3.0,10.0,24.6,12.93,1.0431,2566,Medium,Pre-position ration kits at block-level storage points.
Kamrup Metropolitan,9.88,1.0460926734037668,1253938,2471.08,Medium,3.0,10.0,24.71,9.879999999999999,1.0329333333333333,2552,Medium,Pre-position ration kits at block-level storage points.
Udalguri,17.176,1.8301303399173168,831668,2362.2,Medium,3.0,10.0,23.62,17.17,1.0572333333333332,2497,Medium,Pre-position ration kits at block-level storage points.
Kokrajhar,17.784,1.33296681212678,887142,2136.455,Medium,3.0,9.0,21.36,17.78,1.0592666666666666,2263,Medium,Pre-position ration kits at block-level storage points.
Nalbari,11.096,1.801765617822692,771639,2083.84,Medium,3.0,9.0,20.84,11.1,1.037,2161,Medium,Pre-position ration kits at block-level storage points.
Bongaigaon,14.744,1.818784451079467,738804,2013.98,Medium,3.0,9.0,20.14,14.74,1.0491333333333333,2113,Medium,Pre-position ration kits at block-level storage points.
Karbi Anglong,11.096,0.8017656178226917,956313,1943.005,Low,2.0,8.0,19.43,11.1,1.037,2015,Medium,Pre-position ration kits at block-level storage points.
Hailakandi,19.76,1.3421853468075335,659296,1543.99,Low,2.0,7.0,15.44,19.77,1.0659,1646,Low,Monitor rainfall and maintain buffer stock.
Chirang,16.72,1.3280029857602205,482162,1161.965,Low,2.0,5.0,11.62,16.72,1.0557333333333334,1227,Low,Monitor rainfall and maintain buffer stock.
Dima Hasao,11.856,0.5553112080845201,214102,388.995,Low,1.0,2.0,3.89,11.85,1.0395,404,Low,Monitor rainfall and maintain buffer stock.
