district,district_rainfall,flood_severity,population_2011,predicted_ration_kits,risk_level,recommended_trucks,recommended_volunteers,recommended_storage_tons
Nagaon,10.488,2.2989291456132293,2823768,8926.47,Severe,9.0,36.0,89.26
Dhubri,13.68,2.313820624712908,1949258,6189.105,High,7.0,25.0,61.89
Sonitpur,15.959999999999999,2.0744573954983925,1924110,5955.19,High,6.0,24.0,59.55
Barpeta,12.92,2.3102750344510796,1693622,5371.875,High,6.0,22.0,53.72
Cachar,18.544,1.5865124023886081,1736617,4495.715,Medium,5.0,18.0,44.96
Kamrup,10.488,1.7989291456132293,1517542,4220.01,Medium,5.0,17.0,42.2
Dibrugarh,17.024,1.8294212218649517,1326335,3776.915,Medium,4.0,16.0,37.77
Lakhimpur,17.176,2.5801303399173174,1042137,3692.065,Medium,4.0,15.0,36.92
Tinsukia,16.568,1.577293867707855,1327929,3477.825,Medium,4.0,14.0,34.78
Golaghat,13.68,2.063820624712908,1066888,3320.955,Medium,4.0,14.0,33.21
Marigaon,9.879999999999999,2.2960926734037668,957423,3060.085,Medium,4.0,13.0,30.6
Goalpara,14.287999999999998,2.0666570969223703,1008183,3034.08,Medium,4.0,13.0,30.34
Sivasagar,13.527999999999999,1.5631115066605419,1151050,2965.09,Medium,3.0,12.0,29.65
Jorhat,12.312,1.5574385622416167,1092256,2826.885,Medium,3.0,12.0,28.27
Karimganj,21.279999999999998,1.3492765273311895,1228686,2811.78,Medium,3.0,12.0,28.12
Darrang,11.856,2.05531120808452,928500,2771.01,Medium,3.0,12.0,27.71
Dhemaji,18.544,2.586512402388608,686133,2518.995,Medium,3.0,11.0,25.19
Kamrup Metropolitan,9.879999999999999,1.0460926734037668,1253938,2471.08,Medium,3.0,10.0,24.71
Baksa,12.92,1.5602750344510794,950075,2459.995,Medium,3.0,10.0,24.6
Udalguri,17.176,1.8301303399173172,831668,2362.2,Medium,3.0,10.0,23.62
Kokrajhar,17.784,1.33296681212678,887142,2136.455,Medium,3.0,9.0,21.36
Nalbari,11.096,1.8017656178226917,771639,2083.84,Medium,3.0,9.0,20.84
Bongaigaon,14.744,1.818784451079467,738804,2013.98,Medium,3.0,9.0,20.14
Karbi Anglong,11.096,0.8017656178226917,956313,1943.005,Low,2.0,8.0,19.43
Hailakandi,19.759999999999998,1.3421853468075335,659296,1543.99,Low,2.0,7.0,15.44
Chirang,16.72,1.3280029857602205,482162,1161.965,Low,2.0,5.0,11.62
Dima Hasao,11.856,0.5553112080845201,214102,388.995,Low,1.0,2.0,3.89
