ds,yhat,yhat_lower,yhat_upper
2014-01-01,3148.363647944335,2679.7404734214156,3618.485147184032
2014-02-01,3215.9557804725137,2764.9070410978666,3649.7159403065175
2014-03-01,3452.5943883738732,2970.5539930659465,3930.316833291404
2014-04-01,4053.6876215610846,3551.2335565151793,4504.527350061918
2014-05-01,4677.380460800842,4211.309284739236,5155.52227547258
2014-06-01,6670.74785851824,6206.6838428213005,7096.85582737373
2014-07-01,6592.1870816080955,6127.209362873344,7038.853343919633
2014-08-01,6089.8336570924985,5627.818083030259,6559.525691290528
2014-09-01,5685.317109364886,5218.124785527517,6170.601044199177
2014-10-01,3808.475451986277,3338.1555132441713,4261.757153993356
2014-11-01,3193.904621119994,2738.145775239999,3653.0440255686935
2014-12-01,3108.0644540875755,2639.2190889889007,3598.751260326895
