date,precipitation_sum_mm,district,lat,lon
2026-06-12,8.8,Baksa,26.6935,91.5984
2026-06-13,4.6,Baksa,26.6935,91.5984
2026-06-14,7.7,Baksa,26.6935,91.5984
2026-06-15,10.3,Baksa,26.6935,91.5984
2026-06-16,18.9,Baksa,26.6935,91.5984
2026-06-17,15.0,Baksa,26.6935,91.5984
2026-06-18,19.5,Baksa,26.6935,91.5984
2026-06-12,20.4,Barpeta,26.3229,91.0063
2026-06-13,12.1,Barpeta,26.3229,91.0063
2026-06-14,8.7,Barpeta,26.3229,91.0063
2026-06-15,7.8,Barpeta,26.3229,91.0063
2026-06-16,13.2,Barpeta,26.3229,91.0063
2026-06-17,14.1,Barpeta,26.3229,91.0063
2026-06-18,18.0,Barpeta,26.3229,91.0063
2026-06-12,12.5,Bongaigaon,26.478,90.5582
2026-06-13,10.6,Bongaigaon,26.478,90.5582
2026-06-14,8.7,Bongaigaon,26.478,90.5582
2026-06-15,31.0,Bongaigaon,26.478,90.5582
2026-06-16,33.3,Bongaigaon,26.478,90.5582
2026-06-17,35.4,Bongaigaon,26.478,90.5582
2026-06-18,61.8,Bongaigaon,26.478,90.5582
2026-06-12,11.3,Cachar,24.8333,92.7789
2026-06-13,24.7,Cachar,24.8333,92.7789
2026-06-14,41.8,Cachar,24.8333,92.7789
2026-06-15,36.8,Cachar,24.8333,92.7789
2026-06-16,39.9,Cachar,24.8333,92.7789
2026-06-17,22.5,Cachar,24.8333,92.7789
2026-06-18,30.9,Cachar,24.8333,92.7789
2026-06-12,10.3,Chirang,26.6586,90.6597
2026-06-13,9.9,Chirang,26.6586,90.6597
2026-06-14,12.5,Chirang,26.6586,90.6597
2026-06-15,13.3,Chirang,26.6586,90.6597
2026-06-16,35.4,Chirang,26.6586,90.6597
2026-06-17,43.8,Chirang,26.6586,90.6597
2026-06-18,36.3,Chirang,26.6586,90.6597
2026-06-12,0.4,Darrang,26.4523,92.0301
2026-06-13,6.5,Darrang,26.4523,92.0301
2026-06-14,5.7,Darrang,26.4523,92.0301
2026-06-15,6.9,Darrang,26.4523,92.0301
2026-06-16,3.3,Darrang,26.4523,92.0301
2026-06-17,11.7,Darrang,26.4523,92.0301
2026-06-18,5.1,Darrang,26.4523,92.0301
2026-06-12,0.2,Dhemaji,27.4811,94.557
2026-06-13,23.6,Dhemaji,27.4811,94.557
2026-06-14,39.5,Dhemaji,27.4811,94.557
2026-06-15,15.4,Dhemaji,27.4811,94.557
2026-06-16,30.0,Dhemaji,27.4811,94.557
2026-06-17,34.2,Dhemaji,27.4811,94.557
2026-06-18,37.8,Dhemaji,27.4811,94.557
2026-06-12,6.2,Dhubri,26.0207,89.9743
2026-06-13,6.8,Dhubri,26.0207,89.9743
2026-06-14,8.9,Dhubri,26.0207,89.9743
2026-06-15,19.2,Dhubri,26.0207,89.9743
2026-06-16,35.7,Dhubri,26.0207,89.9743
2026-06-17,54.3,Dhubri,26.0207,89.9743
2026-06-18,44.7,Dhubri,26.0207,89.9743
2026-06-12,0.0,Dibrugarh,27.4728,94.912
2026-06-13,12.1,Dibrugarh,27.4728,94.912
2026-06-14,25.0,Dibrugarh,27.4728,94.912
2026-06-15,20.0,Dibrugarh,27.4728,94.912
2026-06-16,29.7,Dibrugarh,27.4728,94.912
2026-06-17,31.2,Dibrugarh,27.4728,94.912
2026-06-18,42.9,Dibrugarh,27.4728,94.912
2026-06-12,4.3,Dima Hasao,25.3478,93.0176
2026-06-13,5.1,Dima Hasao,25.3478,93.0176
2026-06-14,74.8,Dima Hasao,25.3478,93.0176
2026-06-15,2.0,Dima Hasao,25.3478,93.0176
2026-06-16,3.6,Dima Hasao,25.3478,93.0176
2026-06-17,25.8,Dima Hasao,25.3478,93.0176
2026-06-18,15.9,Dima Hasao,25.3478,93.0176
2026-06-12,10.7,Goalpara,26.1641,90.6252
2026-06-13,8.2,Goalpara,26.1641,90.6252
2026-06-14,12.9,Goalpara,26.1641,90.6252
2026-06-15,6.8,Goalpara,26.1641,90.6252
2026-06-16,14.4,Goalpara,26.1641,90.6252
2026-06-17,32.7,Goalpara,26.1641,90.6252
2026-06-18,33.0,Goalpara,26.1641,90.6252
2026-06-12,6.9,Golaghat,26.5239,93.9623
2026-06-13,22.7,Golaghat,26.5239,93.9623
2026-06-14,21.1,Golaghat,26.5239,93.9623
2026-06-15,12.7,Golaghat,26.5239,93.9623
2026-06-16,5.7,Golaghat,26.5239,93.9623
2026-06-17,14.4,Golaghat,26.5239,93.9623
